gene_id	gene_name	control_rep1	control_rep2	control_rep3	imatinib_rep1	imatinib_rep2	imatinib_rep3
AC037193.1	AC037193.1	0	0	0	0	0	0
AC058791.1	AC058791.1	0	0	0	0	1	1
AC068831.10	AC068831.10	0	4	5	10	17	5
AC068858.1	AC068858.1	0	0	0	0	0	0
AC069277.1	AC069277.1	0	0	0	2	1	2
AC072062.1	AC072062.1	2	0	0	5	4	2
AC073128.10	AC073128.10	0	0	0	0	0	0
AC073133.1	AC073133.1	0	0	0	0	0	0
AC073283.4	AC073283.4	0	0	0	3	0	2
AC073321.3	AC073321.3	0	0	0	0	0	0
AC073628.1	AC073628.1	0	0	0	0	0	0
AC074138.3	AC074138.3	18	14	15	22	22.997	8
AC074286.1	AC074286.1	21	23	31.01	91	98	72
AC074289.1	AC074289.1	3.773	5	3	5	5	6
AC078941.1	AC078941.1	0	0	0	0	0	0
AC079117.1	AC079117.1	0	0	0	0	0	0
AC079145.4	AC079145.4	2	0	0	1	0	1
AC079586.1	AC079586.1	0	0	0	0	0	0
AC079610.2	AC079610.2	0	2	0	0	0	0
AC079776.3	AC079776.3	0	0	0	0	0	0
AC087859.1	AC087859.1	0	0	0	0	0	0
AC090044.1	AC090044.1	0	0	0	0	0	0
AC090505.6	AC090505.6	0	0	0	0	0	0
AC091729.9	AC091729.9	75.001	74	66.999	210.1	239.005	173.231
AC091878.1	AC091878.1	0	0	0	0	0	0
AC091969.1	AC091969.1	0	0	0	0	0	0
AC092295.7	AC092295.7	15	12.189	3	21	31.74	23.372
AC093375.1	AC093375.1	51	46.102	58	131.948	167.381	113.035
AC093391.2	AC093391.2	2.005	3.011	5.046	13.079	11.07	10.066
AC093590.1	AC093590.1	0	0	0	0	0	0
AC093690.1	AC093690.1	2	7	4.019	18	19	9
AC095067.1	AC095067.1	0	0	0	0	0	0
AC096559.1	AC096559.1	33.024	32	35.052	42	47.06	33
AC097468.4	AC097468.4	0	0	0	0	2	0
AC097500.2	AC097500.2	0	1	5	2	2	0
AC097662.2	AC097662.2	4	2	2	3	8	3
AC098823.3	AC098823.3	0	0	0	0	1	0
AC099342.1	AC099342.1	0	0	0	0	0	0
AC104024.1	AC104024.1	0	0	0	0	0	0
AC104134.2	AC104134.2	0	0	0	0	0	0
AC104653.1	AC104653.1	0	1	0	5	2	0
AC104654.1	AC104654.1	0	0	0	0	0	0
AC104654.2	AC104654.2	0	0	0	0	0	0
AC104655.2	AC104655.2	0	0	1.005	1.01	2.018	2.029
AC104777.2	AC104777.2	0	0	0	0	0	0
AC104777.4	AC104777.4	0	0	0	0	0	0
AC104820.2	AC104820.2	0	0	0	0	0	0
AC105053.3	AC105053.3	0	0	0	0	0	0
AC105253.1	AC105253.1	0	0	0	0	0	0
AC105339.1	AC105339.1	0	0	0	0	2	0
AC105760.3	AC105760.3	0	0	0	0	0	0
AC107070.1	AC107070.1	0	0	0	0	0	0
AC107622.1	AC107622.1	0	0	0	0	0	0
AC108142.1	AC108142.1	0	0	0	0	0	0
AC109828.1	AC109828.1	0	2.016	0	0	1.004	0
AC113607.2	AC113607.2	0	0	0	0	0	0
AC116035.1	AC116035.1	0	0	0	0	0	0
AC125421.1	AC125421.1	0	0	0	0	0	0
AC131097.3	AC131097.3	6	7	2	6	8	1
AC136896.1	AC136896.1	0	0	0	0	0	0
AC137932.6	AC137932.6	2	3	0	0	1	3
AC144449.1	AC144449.1	2.003	5.004	1	3.008	2.007	5.002
AC145110.1	AC145110.1	0	0	0	0	0	0
AC147651.4	AC147651.4	142.051	113.015	83	103.551	111.155	78.031
AC159540.1	AC159540.1	16.167	6	2.266	18.796	16.705	23.172
AC159540.1-2	AC159540.1	43.833	20	27.734	143.969	161.448	150.828
AC226118.1	AC226118.1	0	1	0	1	2	0
ACAA1	ACAA1	1008.633	1161.586	871.348	996.528	1079.561	809.834
ACAA2	ACAA2	698.109	703.092	653.691	989.595	1132.438	997.802
ACACA	ACACA	6025.17	6588.503	6060.572	5401.892	6361.837	5360.204
ACACB	ACACB	80	101	76	261	294.001	183.89
ACAD10	ACAD10	147	163.347	136.022	437.614	506.753	289
