gene_id	gene_name	control_rep1	control_rep2	control_rep3	nilotinib_rep1	nilotinib_rep2	nilotinib_rep3
AC005592.2	AC005592.2	0.905914	2.559027	3.294265	0.089068	0	0
AC005594.3	AC005594.3	0.243672	0.130776	0.183008	0.274549	0.136322	0.337679
AC006004.1	AC006004.1	0	0	0	0	0	0
AC006145.4	AC006145.4	0	0	0	0	0	0
AC006196.1	AC006196.1	0	0	0	0	0	0
AC006262.5	AC006262.5	8.563214	9.692378	4.275739	0.406219	0.971062	0.630983
AC006272.1	AC006272.1	0.512364	1.209295	1.107212	1.422567	0.312737	1.2491
AC006372.4	AC006372.4	0	0	0	0.008231	0	0.025007
AC007038.7	AC007038.7	0.913753	1.066108	1.001877	0.877242	0.648693	1.190205
AC007040.7	AC007040.7	0.336123	0.467076	0.583541	0	0	0
AC007099.1	AC007099.1	0	0	0.031636	0	0	0
AC007131.1	AC007131.1	0.176636	0.303623	0.475177	0.35155	0.360762	0.299846
AC007163.3	AC007163.3	0	0.020083	0	0	0	0
AC007163.6	AC007163.6	0.04664	0.058455	0	0	0	0.049336
AC007246.3	AC007246.3	3.723698	3.534972	4.790371	0.56687	0.468806	0.445599
AC007359.6	AC007359.6	0	0	0	0	0	0
AC007365.1	AC007365.1	0	0.023797	0.038559	0.020667	0	0
AC007386.2	AC007386.2	0	0	0	0	0	0
AC007392.3	AC007392.3	0	0	0	0	0	0
AC007392.4	AC007392.4	0	0	0	0	0	0
AC007403.2	AC007403.2	0	0	0	0	0	0
AC007405.4	AC007405.4	2.397366	1.102119	1.731195	3.740717	2.973712	2.234573
AC007461.2	AC007461.2	0	0	0	0	0	0
AC007463.2	AC007463.2	0	0	0	0	0	0
AC007551.3	AC007551.3	0.50333	0.585137	0.692522	0.578063	0.477776	0.629443
AC007682.1	AC007682.1	0	0	0	0	0	0
AC007740.1	AC007740.1	0	0	0	0	0	0
AC007743.1	AC007743.1	1.175042	1.194933	1.617635	0.768248	0.474493	0.401931
AC007750.5	AC007750.5	0	0	0	0	0	0
AC007773.2	AC007773.2	1.954472	1.355416	2.253377	2.129422	2.349414	2.611244
AC007879.2	AC007879.2	0	0.211971	0.262602	0.092229	0.369392	0.258707
AC007880.1	AC007880.1	0	0	0	0	0	0.018182
AC007966.1	AC007966.1	0	0	0	0	0	0
AC008697.1	AC008697.1	0	0.027246	0	0	0.024235	0
AC008703.1	AC008703.1	0	0	0	0	0	0
AC009120.4	AC009120.4	0	0	0	0.04434	0	0
AC009227.2	AC009227.2	0	0	0	0	0	0
AC009264.1	AC009264.1	0	0.056287	0	0	0.025027	0
AC009299.3	AC009299.3	0	0	0	0.014742	0.061851	0.030289
AC009473.1	AC009473.1	0.220381	0.079107	0.128654	0.034365	0.140273	0.067848
AC009501.4	AC009501.4	0.722549	0.599596	1.02514	0.404994	0.336252	0.540945
AC009518.4	AC009518.4	0	0	0	0	0	0
AC009948.5	AC009948.5	10.180055	9.983305	13.86388	2.067717	3.125361	3.622116
AC010091.1	AC010091.1	0	0	0	0	0.007826	0
AC010127.3	AC010127.3	0.043364	0	0.014425	0	0	0
AC010226.4	AC010226.4	0	0	0.399958	2.831556	3.542862	2.538432
AC010524.2	AC010524.2	0.729814	0.502514	0.560663	0.446673	0.512912	0.503883
AC010731.4	AC010731.4	0	0	0	0	0	0
AC010890.1	AC010890.1	0	0	0	0	0	0
AC010975.1	AC010975.1	0	0	0	0.076783	0	0
AC010987.6	AC010987.6	0	0	0	0	0	0
AC011298.2	AC011298.2	0	0	0	0.029821	0	0
AC011343.1	AC011343.1	0	0	0	0	0	0
AC011518.1	AC011518.1	0	0	0	0	0	0
AC011609.3	AC011609.3	0	0	0	0	0	0
AC011718.2	AC011718.2	0.183969	0.121306	0.204783	0.017697	0.179297	0.284006
AC011738.4	AC011738.4	0.01072	0	0.010935	0.011747	0.012078	0
AC011747.4	AC011747.4	0.072856	0.113022	0.118168	0.203481	0.340926	0.288341
AC011747.7	AC011747.7	3.100616	4.144837	4.405625	8.327796	8.033766	6.168456
AC011899.9	AC011899.9	0	0	0	0	0	0.023453
AC012075.2	AC012075.2	0	0	0	0	0	0
