pathway,pval,padj,NES,size
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,0.25842696629213485,0.5923941227312014,1.1473319452851074,25
KEGG_ENDOMETRIAL_CANCER,0.17096018735362997,0.44689592834545383,1.194188304296539,46
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.1542056074766355,0.4163713195201745,1.198375298280641,51
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.12705882352941175,0.35720310765815755,1.2253924943573058,47
KEGG_PPAR_SIGNALING_PATHWAY,0.09417040358744394,0.315872648781992,1.3067139614438776,40
KEGG_REGULATION_OF_AUTOPHAGY,0.11715481171548117,0.34912133891213387,1.3504938386321472,17
KEGG_PEROXISOME,0.020847046158637236,0.11042218072489608,1.5320601307086406,64
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.025893608891671825,0.1169135674199728,1.5839689658611729,31
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.02395677363191076,0.11393675889207054,1.661798311002717,22
KEGG_ABC_TRANSPORTERS,0.021491565375986486,0.11042218072489608,1.6625715226256814,24
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.012431760511810191,0.07718051317748827,1.7199129078638955,16
KEGG_ECM_RECEPTOR_INTERACTION,0.0038955489105410527,0.034143340451212756,1.7988802005848683,41
KEGG_LYSOSOME,1.1469948962215563e-4,0.002848370658950198,1.8008903058826893,110
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,0.001757039148733348,0.021816569430105737,1.9674137826252438,20
KEGG_O_GLYCAN_BIOSYNTHESIS,3.413726978960022e-4,0.0054674571217308435,2.0653604394170326,16
