gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CRTC1,2024.9929350716604,2.6513887965874323,0.1208497105674112,21.93955437823296,1.0896400021257318e-106,2.0785219349190965e-104
ARHGAP23,2421.25532777964,4.447493217681212,0.20334617609792008,21.871536032915365,4.849708375300747e-106,9.13815172033803e-104
CR1L,2083.971413925498,2.436375179353052,0.1117594826144808,21.800165161442578,2.311813127109654e-105,4.3035933285507545e-103
EXOC3L4,523.8238404881907,3.0455120896762846,0.14016614719241993,21.727871891173617,1.118677195382465e-104,2.0577001602207703e-102
RLN3,619.4682549102098,7.735715284209949,0.35642379075000363,21.703700720796707,1.8929780565025086e-104,3.4409887001200305e-102
C17orf99,3364.759580233453,4.409190862435203,0.20355804671742683,21.6606070530629,4.8282977227239256e-104,8.674654431838066e-102
APLNR,712.4552215988082,3.3669236900781203,0.1556690826312169,21.628724427280325,9.641238011029065e-104,1.7122617069932192e-101
PPM1H,2212.1357864077836,-2.527552371062946,0.11754733144860809,-21.502422385215922,1.4777003273868775e-102,2.5945395180062097e-100
IL16,505.3345101619027,-3.650700788037004,0.17009982368783777,-21.462108007452517,3.519784585488968e-102,6.110583329257309e-100
TPM4,5759.328033879475,-2.815369238127583,0.13125390202916357,-21.449794593550678,4.586729420689056e-102,7.874395142118511e-100
TM6SF1,684.8154508403107,-3.020208758720295,0.14117902922792297,-21.39275765839411,1.5605482798166842e-101,2.6496737880711635e-99
SLC22A4,1434.5921517966847,4.041477822293166,0.1891957230825226,21.361359318521018,3.057824748874873e-101,5.1354837168332245e-99
SH3BGR,1365.1164030605041,-2.840694212589572,0.13316584840835743,-21.332002510722496,5.730160122211856e-101,9.520075704117783e-99
PQLC1,2430.1209050586913,2.2118704576725188,0.10383074475422739,21.302654265922175,1.0726747465473063e-100,1.76318058605345e-98
P2RX1,767.7582360522421,-4.467430891808301,0.20998504187202488,-21.27499583770815,1.935303690904822e-100,3.1476186661232004e-98
ETV5,549.8131111459278,-4.394973894629875,0.2066588152054507,-21.266810662107947,2.3042458949337226e-100,3.708635762773015e-98
